Nama Lokasi,Tipe Lokasi,Merk HP,Minat Digital,CTR,Durasi Akses (Menit/Minggu),Skor CTR,Skor Durasi Akses (Menit/Minggu),Skor Minat Digital,Level Respons CTR,Level Durasi Akses,Level Minat Digital,Usia,Sesi Login,Segmentasi Pengguna
Perpustakaan Nasional,Fasilitas Umum,Vivo,E-Book & Digital Education,6.9,91,46.0,15.166666666666668,30.6,Sedang,Rendah,Rendah,45,Sore,The Passerby
Kopi Kenangan Senayan,Cafe,Samsung,Entertainment & Streaming,10.7,514,71.33333333333333,85.66666666666667,78.5,Tinggi,Tinggi,Tinggi,33,Sore,The Digital Star
Kopi Kenangan Senayan,Cafe,Samsung,F&B & Culinary Lifestyle,4.1,392,27.33333333333333,65.33333333333333,46.3,Rendah,Sedang,Sedang,42,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,Travel & Leisure,6.5,177,43.333333333333336,29.5,36.4,Sedang,Rendah,Rendah,32,Malam,The Passerby
Stasiun Sudirman,Transportasi,Oppo,F&B & Culinary Lifestyle,6.2,524,41.333333333333336,87.33333333333333,64.3,Sedang,Tinggi,Sedang,33,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,10.0,443,66.66666666666666,73.83333333333333,70.2,Sedang,Tinggi,Tinggi,36,Siang,The Camper
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,1.4,158,9.333333333333332,26.33333333333333,17.8,Rendah,Rendah,Rendah,44,Malam,The Passerby
Plaza Indonesia,Mall,Vivo,Travel & Leisure,4.9,185,32.66666666666667,30.833333333333336,31.8,Rendah,Rendah,Rendah,28,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,F&B & Culinary Lifestyle,14.5,379,96.66666666666669,63.16666666666667,79.9,Tinggi,Sedang,Tinggi,22,Pagi,The Impulse Clicker
Plaza Indonesia,Mall,Apple,Entertainment & Streaming,3.4,170,22.666666666666664,28.33333333333333,25.5,Rendah,Rendah,Rendah,40,Malam,The Passerby
Plaza Indonesia,Mall,Xiaomi,Travel & Leisure,3.4,499,22.666666666666664,83.16666666666667,52.9,Rendah,Tinggi,Sedang,22,Sore,The Camper
Stasiun Sudirman,Transportasi,Vivo,F&B & Culinary Lifestyle,9.1,333,60.66666666666667,55.50000000000001,58.1,Sedang,Sedang,Sedang,26,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,E-Book & Digital Education,5.3,245,35.333333333333336,40.833333333333336,38.1,Rendah,Sedang,Rendah,22,Pagi,The Passerby
Starbucks Kemang,Cafe,Apple,F&B & Culinary Lifestyle,1.4,280,9.333333333333332,46.66666666666666,28.0,Rendah,Sedang,Rendah,44,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,E-Book & Digital Education,10.8,146,72.00000000000001,24.333333333333336,48.2,Tinggi,Rendah,Sedang,41,Siang,The Impulse Clicker
Kopi Kenangan Senayan,Cafe,Samsung,F&B & Culinary Lifestyle,4.1,494,27.33333333333333,82.33333333333334,54.8,Rendah,Tinggi,Sedang,27,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Apple,Travel & Leisure,1.7,500,11.333333333333332,83.33333333333334,47.3,Rendah,Tinggi,Sedang,38,Malam,The Camper
Kopi Kenangan Senayan,Cafe,Oppo,Travel & Leisure,10.0,106,66.66666666666666,17.666666666666668,42.2,Sedang,Rendah,Sedang,28,Pagi,The Passerby
Starbucks Kemang,Cafe,Apple,E-Book & Digital Education,14.2,200,94.66666666666669,33.33333333333333,64.0,Tinggi,Rendah,Sedang,46,Siang,The Impulse Clicker
Plaza Indonesia,Mall,Oppo,Entertainment & Streaming,2.6,449,17.333333333333336,74.83333333333333,46.1,Rendah,Tinggi,Sedang,46,Pagi,The Camper
Stasiun Sudirman,Transportasi,Xiaomi,F&B & Culinary Lifestyle,6.0,103,40.0,17.166666666666668,28.6,Rendah,Rendah,Rendah,29,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,Travel & Leisure,6.4,474,42.66666666666667,79.0,60.8,Sedang,Tinggi,Sedang,44,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,F&B & Culinary Lifestyle,12.0,531,80.0,88.5,84.2,Tinggi,Tinggi,Tinggi,46,Pagi,The Digital Star
Plaza Indonesia,Mall,Apple,Entertainment & Streaming,8.8,596,58.66666666666666,99.33333333333331,79.0,Sedang,Tinggi,Tinggi,43,Malam,The Camper
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,5.0,232,33.33333333333333,38.66666666666666,36.0,Rendah,Rendah,Rendah,23,Siang,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,13.6,417,90.66666666666666,69.5,80.1,Tinggi,Sedang,Tinggi,30,Sore,The Impulse Clicker
Plaza Indonesia,Mall,Apple,F&B & Culinary Lifestyle,1.5,322,10.0,53.66666666666666,31.8,Rendah,Sedang,Rendah,20,Malam,The Passerby
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,14.3,565,95.33333333333334,94.16666666666669,94.8,Tinggi,Tinggi,Tinggi,22,Pagi,The Digital Star
Perpustakaan Nasional,Fasilitas Umum,Vivo,Travel & Leisure,4.8,383,32.0,63.83333333333333,47.9,Rendah,Sedang,Sedang,32,Malam,The Passerby
Starbucks Kemang,Cafe,Xiaomi,E-Book & Digital Education,8.9,420,59.333333333333336,70.0,64.7,Sedang,Sedang,Sedang,32,Siang,The Passerby
Stasiun Sudirman,Transportasi,Samsung,F&B & Culinary Lifestyle,5.5,353,36.66666666666666,58.833333333333336,47.8,Rendah,Sedang,Sedang,32,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,Travel & Leisure,7.6,533,50.66666666666666,88.83333333333333,69.8,Sedang,Tinggi,Sedang,44,Malam,The Camper
Stasiun Sudirman,Transportasi,Samsung,Entertainment & Streaming,13.6,252,90.66666666666666,42.0,66.3,Tinggi,Sedang,Sedang,18,Sore,The Impulse Clicker
Plaza Indonesia,Mall,Samsung,Entertainment & Streaming,1.6,411,10.666666666666668,68.5,39.6,Rendah,Sedang,Rendah,42,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Apple,Entertainment & Streaming,14.9,596,99.33333333333334,99.33333333333331,99.3,Tinggi,Tinggi,Tinggi,45,Sore,The Digital Star
Stasiun Sudirman,Transportasi,Xiaomi,Entertainment & Streaming,6.1,406,40.66666666666666,67.66666666666666,54.2,Sedang,Sedang,Sedang,35,Malam,The Passerby
Stasiun Sudirman,Transportasi,Xiaomi,F&B & Culinary Lifestyle,4.9,455,32.66666666666667,75.83333333333333,54.2,Rendah,Tinggi,Sedang,26,Malam,The Camper
Plaza Indonesia,Mall,Vivo,F&B & Culinary Lifestyle,5.0,204,33.33333333333333,34.0,33.7,Rendah,Rendah,Rendah,25,Pagi,The Passerby
Plaza Indonesia,Mall,Oppo,F&B & Culinary Lifestyle,8.9,146,59.333333333333336,24.333333333333336,41.8,Sedang,Rendah,Sedang,25,Pagi,The Passerby
Plaza Indonesia,Mall,Xiaomi,F&B & Culinary Lifestyle,10.1,599,67.33333333333333,99.83333333333331,83.6,Sedang,Tinggi,Tinggi,21,Sore,The Camper
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,5.4,244,36.00000000000001,40.66666666666666,38.3,Rendah,Sedang,Rendah,30,Malam,The Passerby
Starbucks Kemang,Cafe,Apple,F&B & Culinary Lifestyle,2.3,362,15.333333333333332,60.333333333333336,37.8,Rendah,Sedang,Rendah,40,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,9.9,194,66.0,32.33333333333333,49.2,Sedang,Rendah,Sedang,20,Sore,The Passerby
Stasiun Sudirman,Transportasi,Vivo,F&B & Culinary Lifestyle,10.8,104,72.00000000000001,17.333333333333336,44.7,Tinggi,Rendah,Sedang,41,Siang,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Oppo,Travel & Leisure,4.3,519,28.666666666666668,86.5,57.6,Rendah,Tinggi,Sedang,39,Pagi,The Camper
Starbucks Kemang,Cafe,Oppo,F&B & Culinary Lifestyle,5.5,511,36.66666666666666,85.16666666666667,60.9,Rendah,Tinggi,Sedang,21,Sore,The Camper
Perpustakaan Nasional,Fasilitas Umum,Vivo,Entertainment & Streaming,14.5,264,96.66666666666669,44.0,70.3,Tinggi,Sedang,Tinggi,30,Pagi,The Impulse Clicker
Stasiun Sudirman,Transportasi,Oppo,E-Book & Digital Education,8.3,165,55.333333333333336,27.500000000000004,41.4,Sedang,Rendah,Sedang,45,Malam,The Passerby
Stasiun Sudirman,Transportasi,Apple,E-Book & Digital Education,6.7,585,44.66666666666666,97.5,71.1,Sedang,Tinggi,Tinggi,22,Malam,The Camper
Starbucks Kemang,Cafe,Oppo,E-Book & Digital Education,14.0,484,93.33333333333331,80.66666666666666,87.0,Tinggi,Tinggi,Tinggi,39,Siang,The Digital Star
Kopi Kenangan Senayan,Cafe,Oppo,F&B & Culinary Lifestyle,5.6,88,37.33333333333333,14.666666666666666,26.0,Rendah,Rendah,Rendah,39,Siang,The Passerby
Plaza Indonesia,Mall,Xiaomi,F&B & Culinary Lifestyle,2.1,353,14.000000000000002,58.833333333333336,36.4,Rendah,Sedang,Rendah,26,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,Entertainment & Streaming,9.2,141,61.33333333333333,23.5,42.4,Sedang,Rendah,Sedang,22,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,Travel & Leisure,7.9,173,52.66666666666667,28.83333333333333,40.8,Sedang,Rendah,Sedang,42,Pagi,The Passerby
Plaza Indonesia,Mall,Apple,Entertainment & Streaming,9.6,528,64.0,88.0,76.0,Sedang,Tinggi,Tinggi,45,Pagi,The Camper
Kopi Kenangan Senayan,Cafe,Vivo,Travel & Leisure,0.2,587,1.3333333333333337,97.83333333333334,49.6,Rendah,Tinggi,Sedang,31,Malam,The Camper
Stasiun Sudirman,Transportasi,Oppo,F&B & Culinary Lifestyle,9.2,306,61.33333333333333,51.0,56.2,Sedang,Sedang,Sedang,37,Pagi,The Passerby
Stasiun Sudirman,Transportasi,Samsung,Travel & Leisure,14.6,129,97.33333333333331,21.5,59.4,Tinggi,Rendah,Sedang,25,Siang,The Impulse Clicker
Stasiun Sudirman,Transportasi,Vivo,F&B & Culinary Lifestyle,5.9,541,39.333333333333336,90.16666666666666,64.8,Rendah,Tinggi,Sedang,30,Sore,The Camper
Kopi Kenangan Senayan,Cafe,Samsung,E-Book & Digital Education,11.8,413,78.66666666666667,68.83333333333333,73.8,Tinggi,Sedang,Tinggi,38,Malam,The Impulse Clicker
Starbucks Kemang,Cafe,Vivo,E-Book & Digital Education,2.0,420,13.333333333333334,70.0,41.7,Rendah,Sedang,Sedang,43,Malam,The Passerby
Stasiun Sudirman,Transportasi,Oppo,Entertainment & Streaming,9.5,198,63.33333333333333,33.0,48.2,Sedang,Rendah,Sedang,41,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,0.7,264,4.666666666666666,44.0,24.3,Rendah,Sedang,Rendah,45,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Oppo,Travel & Leisure,7.1,97,47.333333333333336,16.166666666666664,31.8,Sedang,Rendah,Rendah,30,Pagi,The Passerby
Starbucks Kemang,Cafe,Samsung,E-Book & Digital Education,4.1,436,27.33333333333333,72.66666666666667,50.0,Rendah,Tinggi,Sedang,22,Pagi,The Camper
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,14.6,568,97.33333333333331,94.66666666666669,96.0,Tinggi,Tinggi,Tinggi,18,Siang,The Digital Star
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,F&B & Culinary Lifestyle,10.9,140,72.66666666666667,23.33333333333333,48.0,Tinggi,Rendah,Sedang,30,Pagi,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,E-Book & Digital Education,1.5,395,10.0,65.83333333333333,37.9,Rendah,Sedang,Rendah,29,Malam,The Passerby
Plaza Indonesia,Mall,Oppo,F&B & Culinary Lifestyle,10.3,419,68.66666666666667,69.83333333333334,69.2,Sedang,Sedang,Sedang,24,Pagi,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,Entertainment & Streaming,4.1,118,27.33333333333333,19.666666666666664,23.5,Rendah,Rendah,Rendah,35,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,14.3,206,95.33333333333334,34.333333333333336,64.8,Tinggi,Rendah,Sedang,35,Malam,The Impulse Clicker
Stasiun Sudirman,Transportasi,Apple,F&B & Culinary Lifestyle,3.5,435,23.33333333333333,72.5,47.9,Rendah,Tinggi,Sedang,45,Malam,The Camper
Plaza Indonesia,Mall,Apple,Entertainment & Streaming,14.2,440,94.66666666666669,73.33333333333333,84.0,Tinggi,Tinggi,Tinggi,27,Siang,The Digital Star
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,Entertainment & Streaming,4.7,345,31.333333333333336,57.49999999999999,44.4,Rendah,Sedang,Sedang,30,Malam,The Passerby
Starbucks Kemang,Cafe,Oppo,Travel & Leisure,5.8,180,38.66666666666666,30.0,34.3,Rendah,Rendah,Rendah,41,Malam,The Passerby
Plaza Indonesia,Mall,Vivo,E-Book & Digital Education,10.4,562,69.33333333333334,93.66666666666669,81.5,Sedang,Tinggi,Tinggi,40,Pagi,The Camper
Starbucks Kemang,Cafe,Oppo,F&B & Culinary Lifestyle,13.5,515,90.0,85.83333333333333,87.9,Tinggi,Tinggi,Tinggi,44,Malam,The Digital Star
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,8.2,357,54.66666666666666,59.5,57.1,Sedang,Sedang,Sedang,25,Malam,The Passerby
Plaza Indonesia,Mall,Apple,E-Book & Digital Education,7.6,184,50.66666666666666,30.666666666666664,40.7,Sedang,Rendah,Sedang,24,Pagi,The Passerby
Starbucks Kemang,Cafe,Samsung,E-Book & Digital Education,8.3,437,55.333333333333336,72.83333333333334,64.1,Sedang,Tinggi,Sedang,31,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Samsung,F&B & Culinary Lifestyle,4.6,550,30.666666666666664,91.66666666666666,61.2,Rendah,Tinggi,Sedang,18,Sore,The Camper
Stasiun Sudirman,Transportasi,Vivo,F&B & Culinary Lifestyle,1.9,384,12.666666666666664,64.0,38.3,Rendah,Sedang,Rendah,20,Siang,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,13.2,246,88.0,41.0,64.5,Tinggi,Sedang,Sedang,30,Siang,The Impulse Clicker
Starbucks Kemang,Cafe,Samsung,F&B & Culinary Lifestyle,7.8,371,52.0,61.83333333333333,56.9,Sedang,Sedang,Sedang,19,Siang,The Passerby
Starbucks Kemang,Cafe,Apple,E-Book & Digital Education,14.2,591,94.66666666666669,98.5,96.6,Tinggi,Tinggi,Tinggi,24,Pagi,The Digital Star
Plaza Indonesia,Mall,Vivo,E-Book & Digital Education,1.9,370,12.666666666666664,61.66666666666667,37.2,Rendah,Sedang,Rendah,26,Malam,The Passerby
Stasiun Sudirman,Transportasi,Apple,Travel & Leisure,14.1,217,94.0,36.16666666666667,65.1,Tinggi,Rendah,Sedang,26,Sore,The Impulse Clicker
Starbucks Kemang,Cafe,Vivo,E-Book & Digital Education,12.6,102,84.0,17.0,50.5,Tinggi,Rendah,Sedang,18,Malam,The Impulse Clicker
Kopi Kenangan Senayan,Cafe,Vivo,E-Book & Digital Education,9.8,486,65.33333333333334,81.0,73.2,Sedang,Tinggi,Tinggi,22,Malam,The Camper
Stasiun Sudirman,Transportasi,Vivo,E-Book & Digital Education,9.6,369,64.0,61.5,62.8,Sedang,Sedang,Sedang,18,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,6.8,121,45.33333333333333,20.166666666666664,32.8,Sedang,Rendah,Rendah,25,Pagi,The Passerby
Starbucks Kemang,Cafe,Apple,E-Book & Digital Education,9.1,380,60.66666666666667,63.33333333333333,62.0,Sedang,Sedang,Sedang,32,Siang,The Passerby
Plaza Indonesia,Mall,Apple,E-Book & Digital Education,7.7,168,51.33333333333333,28.000000000000004,39.7,Sedang,Rendah,Rendah,34,Malam,The Passerby
Plaza Indonesia,Mall,Oppo,F&B & Culinary Lifestyle,2.1,111,14.000000000000002,18.5,16.2,Rendah,Rendah,Rendah,38,Pagi,The Passerby
Plaza Indonesia,Mall,Apple,F&B & Culinary Lifestyle,12.2,380,81.33333333333333,63.33333333333333,72.3,Tinggi,Sedang,Tinggi,33,Siang,The Impulse Clicker
Starbucks Kemang,Cafe,Oppo,E-Book & Digital Education,7.5,152,50.0,25.333333333333336,37.7,Sedang,Rendah,Rendah,32,Pagi,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,E-Book & Digital Education,0.7,348,4.666666666666666,57.99999999999999,31.3,Rendah,Sedang,Rendah,40,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,8.1,170,53.99999999999999,28.33333333333333,41.2,Sedang,Rendah,Sedang,26,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,Entertainment & Streaming,5.5,470,36.66666666666666,78.33333333333333,57.5,Rendah,Tinggi,Sedang,23,Malam,The Camper
Kopi Kenangan Senayan,Cafe,Vivo,E-Book & Digital Education,1.1,576,7.333333333333333,96.0,51.7,Rendah,Tinggi,Sedang,35,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Vivo,F&B & Culinary Lifestyle,1.9,159,12.666666666666664,26.5,19.6,Rendah,Rendah,Rendah,27,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,F&B & Culinary Lifestyle,3.0,581,20.0,96.83333333333334,58.4,Rendah,Tinggi,Sedang,29,Pagi,The Camper
Perpustakaan Nasional,Fasilitas Umum,Apple,E-Book & Digital Education,12.1,591,80.66666666666666,98.5,89.6,Tinggi,Tinggi,Tinggi,45,Sore,The Digital Star
Perpustakaan Nasional,Fasilitas Umum,Apple,E-Book & Digital Education,14.0,386,93.33333333333331,64.33333333333333,78.8,Tinggi,Sedang,Tinggi,30,Malam,The Impulse Clicker
Starbucks Kemang,Cafe,Xiaomi,Travel & Leisure,5.0,581,33.33333333333333,96.83333333333334,65.1,Rendah,Tinggi,Sedang,20,Siang,The Camper
Stasiun Sudirman,Transportasi,Oppo,F&B & Culinary Lifestyle,5.5,172,36.66666666666666,28.666666666666668,32.7,Rendah,Rendah,Rendah,37,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Samsung,Travel & Leisure,7.1,293,47.333333333333336,48.833333333333336,48.1,Sedang,Sedang,Sedang,18,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,Entertainment & Streaming,2.2,308,14.666666666666666,51.33333333333333,33.0,Rendah,Sedang,Rendah,30,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Samsung,Entertainment & Streaming,4.7,215,31.333333333333336,35.833333333333336,33.6,Rendah,Rendah,Rendah,40,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Vivo,Entertainment & Streaming,13.1,123,87.33333333333333,20.5,53.9,Tinggi,Rendah,Sedang,30,Malam,The Impulse Clicker
Starbucks Kemang,Cafe,Oppo,Travel & Leisure,5.7,237,38.0,39.5,38.8,Rendah,Rendah,Rendah,36,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,Travel & Leisure,7.3,312,48.66666666666666,52.0,50.3,Sedang,Sedang,Sedang,35,Sore,The Passerby
Plaza Indonesia,Mall,Xiaomi,F&B & Culinary Lifestyle,10.4,560,69.33333333333334,93.33333333333331,81.3,Sedang,Tinggi,Tinggi,37,Sore,The Camper
Plaza Indonesia,Mall,Xiaomi,E-Book & Digital Education,1.8,448,12.000000000000002,74.66666666666667,43.3,Rendah,Tinggi,Sedang,21,Sore,The Camper
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,F&B & Culinary Lifestyle,4.3,140,28.666666666666668,23.33333333333333,26.0,Rendah,Rendah,Rendah,42,Pagi,The Passerby
Plaza Indonesia,Mall,Oppo,F&B & Culinary Lifestyle,3.0,337,20.0,56.16666666666666,38.1,Rendah,Sedang,Rendah,23,Siang,The Passerby
Stasiun Sudirman,Transportasi,Vivo,Travel & Leisure,3.6,111,24.000000000000004,18.5,21.2,Rendah,Rendah,Rendah,43,Malam,The Passerby
Stasiun Sudirman,Transportasi,Samsung,Entertainment & Streaming,5.0,543,33.33333333333333,90.5,61.9,Rendah,Tinggi,Sedang,45,Pagi,The Camper
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,6.1,547,40.66666666666666,91.16666666666666,65.9,Sedang,Tinggi,Sedang,46,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,E-Book & Digital Education,9.7,151,64.66666666666666,25.166666666666664,44.9,Sedang,Rendah,Sedang,37,Malam,The Passerby
Stasiun Sudirman,Transportasi,Samsung,F&B & Culinary Lifestyle,6.3,240,42.0,40.0,41.0,Sedang,Rendah,Sedang,23,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Xiaomi,F&B & Culinary Lifestyle,0.1,169,0.6666666666666667,28.166666666666668,14.4,Rendah,Rendah,Rendah,41,Siang,The Passerby
Plaza Indonesia,Mall,Vivo,Entertainment & Streaming,13.3,197,88.66666666666667,32.83333333333333,60.8,Tinggi,Rendah,Sedang,29,Pagi,The Impulse Clicker
Stasiun Sudirman,Transportasi,Samsung,E-Book & Digital Education,2.4,529,16.0,88.16666666666667,52.1,Rendah,Tinggi,Sedang,21,Siang,The Camper
Plaza Indonesia,Mall,Xiaomi,E-Book & Digital Education,8.5,257,56.66666666666666,42.833333333333336,49.8,Sedang,Sedang,Sedang,23,Malam,The Passerby
Starbucks Kemang,Cafe,Oppo,Entertainment & Streaming,7.7,148,51.33333333333333,24.666666666666668,38.0,Sedang,Rendah,Rendah,18,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,14.0,66,93.33333333333331,11.0,52.2,Tinggi,Rendah,Sedang,42,Malam,The Impulse Clicker
Plaza Indonesia,Mall,Xiaomi,E-Book & Digital Education,4.5,71,30.0,11.833333333333334,20.9,Rendah,Rendah,Rendah,22,Siang,The Passerby
Plaza Indonesia,Mall,Samsung,F&B & Culinary Lifestyle,7.0,223,46.66666666666666,37.16666666666666,41.9,Sedang,Rendah,Sedang,39,Malam,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,F&B & Culinary Lifestyle,9.6,362,64.0,60.333333333333336,62.2,Sedang,Sedang,Sedang,18,Malam,The Passerby
Plaza Indonesia,Mall,Oppo,F&B & Culinary Lifestyle,6.8,442,45.33333333333333,73.66666666666667,59.5,Sedang,Tinggi,Sedang,42,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Vivo,F&B & Culinary Lifestyle,11.4,143,76.0,23.833333333333336,49.9,Tinggi,Rendah,Sedang,31,Malam,The Impulse Clicker
Stasiun Sudirman,Transportasi,Samsung,Travel & Leisure,1.7,577,11.333333333333332,96.16666666666669,53.8,Rendah,Tinggi,Sedang,35,Siang,The Camper
Starbucks Kemang,Cafe,Xiaomi,Travel & Leisure,6.6,270,44.0,45.0,44.5,Sedang,Sedang,Sedang,41,Malam,The Passerby
Stasiun Sudirman,Transportasi,Oppo,F&B & Culinary Lifestyle,6.8,585,45.33333333333333,97.5,71.4,Sedang,Tinggi,Tinggi,30,Sore,The Camper
Perpustakaan Nasional,Fasilitas Umum,Oppo,E-Book & Digital Education,10.8,465,72.00000000000001,77.5,74.8,Tinggi,Tinggi,Tinggi,29,Siang,The Digital Star
Plaza Indonesia,Mall,Samsung,F&B & Culinary Lifestyle,6.4,125,42.66666666666667,20.833333333333336,31.8,Sedang,Rendah,Rendah,28,Malam,The Passerby
Stasiun Sudirman,Transportasi,Oppo,F&B & Culinary Lifestyle,4.3,244,28.666666666666668,40.66666666666666,34.7,Rendah,Sedang,Rendah,44,Malam,The Passerby
Starbucks Kemang,Cafe,Xiaomi,Entertainment & Streaming,6.7,446,44.66666666666666,74.33333333333333,59.5,Sedang,Tinggi,Sedang,33,Malam,The Camper
Perpustakaan Nasional,Fasilitas Umum,Vivo,F&B & Culinary Lifestyle,9.8,416,65.33333333333334,69.33333333333334,67.3,Sedang,Sedang,Sedang,19,Malam,The Passerby
Kopi Kenangan Senayan,Cafe,Apple,F&B & Culinary Lifestyle,12.5,83,83.33333333333334,13.833333333333334,48.6,Tinggi,Rendah,Sedang,30,Pagi,The Impulse Clicker
Plaza Indonesia,Mall,Oppo,Travel & Leisure,5.7,295,38.0,49.16666666666666,43.6,Rendah,Sedang,Sedang,29,Siang,The Passerby
Starbucks Kemang,Cafe,Apple,F&B & Culinary Lifestyle,0.5,489,3.333333333333333,81.5,42.4,Rendah,Tinggi,Sedang,38,Siang,The Camper
Stasiun Sudirman,Transportasi,Samsung,Travel & Leisure,0.5,109,3.333333333333333,18.166666666666668,10.8,Rendah,Rendah,Rendah,44,Malam,The Passerby
Starbucks Kemang,Cafe,Apple,Travel & Leisure,3.3,117,22.0,19.5,20.8,Rendah,Rendah,Rendah,32,Malam,The Passerby
Starbucks Kemang,Cafe,Vivo,E-Book & Digital Education,8.7,388,57.99999999999999,64.66666666666666,61.3,Sedang,Sedang,Sedang,20,Sore,The Passerby
Starbucks Kemang,Cafe,Vivo,F&B & Culinary Lifestyle,6.2,341,41.333333333333336,56.833333333333336,49.1,Sedang,Sedang,Sedang,25,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Apple,Entertainment & Streaming,8.3,108,55.333333333333336,18.0,36.7,Sedang,Rendah,Rendah,23,Sore,The Passerby
Plaza Indonesia,Mall,Vivo,E-Book & Digital Education,10.4,478,69.33333333333334,79.66666666666666,74.5,Sedang,Tinggi,Tinggi,21,Malam,The Camper
Starbucks Kemang,Cafe,Vivo,Entertainment & Streaming,3.6,290,24.000000000000004,48.333333333333336,36.2,Rendah,Sedang,Rendah,22,Pagi,The Passerby
Plaza Indonesia,Mall,Samsung,Travel & Leisure,6.2,486,41.333333333333336,81.0,61.2,Sedang,Tinggi,Sedang,32,Malam,The Camper
Stasiun Sudirman,Transportasi,Xiaomi,F&B & Culinary Lifestyle,5.0,140,33.33333333333333,23.33333333333333,28.3,Rendah,Rendah,Rendah,39,Sore,The Passerby
Perpustakaan Nasional,Fasilitas Umum,Apple,F&B & Culinary Lifestyle,4.0,100,26.666666666666668,16.666666666666664,21.7,Rendah,Rendah,Rendah,23,Pagi,The Passerby
Kopi Kenangan Senayan,Cafe,Vivo,F&B & Culinary Lifestyle,7.2,400,48.00000000000001,66.66666666666666,57.3,Sedang,Sedang,Sedang,28,Pagi,The Passerby
Plaza Indonesia,Mall,Samsung,Entertainment & Streaming,13.7,269,91.33333333333331,44.83333333333333,68.1,Tinggi,Sedang,Sedang,40,Malam,The Impulse Clicker
Perpustakaan Nasional,Fasilitas Umum,Xiaomi,Entertainment & Streaming,7.0,427,46.66666666666666,71.16666666666667,58.9,Sedang,Tinggi,Sedang,22,Pagi,The Camper
Plaza Indonesia,Mall,Oppo,Entertainment & Streaming,1.5,540,10.0,90.0,50.0,Rendah,Tinggi,Sedang,18,Pagi,The Camper
Plaza Indonesia,Mall,Samsung,Travel & Leisure,13.0,209,86.66666666666667,34.833333333333336,60.8,Tinggi,Rendah,Sedang,33,Pagi,The Impulse Clicker
